"Sensitivity Excess Phase - dB SPL/watt (8 ohms, @0.50 meters) (High)"
	"Hz"	"Mag (dB)"	"deg"
  19.86599,   70.37,   141
  20.19895,   70.49,   140.5
  20.53749,   70.6,   140
  20.8817,   70.7,   139.4
  21.23169,   70.82,   138.9
  21.58753,   70.98,   138.3
  21.94935,   71.21,   137.8
  22.31722,   71.6,   137.2
  22.69126,   72.11,   136.6
  23.07158,   72.61,   136.1
  23.45826,   72.95,   135.5
  23.85143,   73.12,   134.9
  24.25118,   73.21,   134.4
  24.65764,   73.3,   133.8
  25.07091,   73.48,   133.2
  25.4911,   73.79,   132.6
  25.91834,   74.17,   132
  26.35274,   74.55,   131.4
  26.79441,   74.88,   130.8
  27.2435,   75.16,   130.2
  27.7001,   75.43,   129.6
  28.16436,   75.67,   129
  28.63641,   75.91,   128.4
  29.11636,   76.17,   127.8
  29.60436,   76.48,   127.2
  30.10053,   76.83,   126.6
  30.60502,   77.2,   126
  31.11797,   77.56,   125.3
  31.63952,   77.89,   124.7
  32.1698,   78.2,   124.1
  32.70898,   78.5,   123.4
  33.25719,   78.79,   122.8
  33.81459,   79.11,   122.2
  34.38133,   79.46,   121.5
  34.95757,   79.84,   120.9
  35.54346,   80.23,   120.3
  36.13918,   80.6,   119.6
  36.74488,   80.92,   119
  37.36074,   81.19,   118.4
  37.98691,   81.44,   117.7
  38.62358,   81.66,   117.1
  39.27092,   81.83,   116.4
  39.92911,   81.86,   115.8
  40.59833,   81.82,   115.1
  41.27877,   81.8,   114.5
  41.97061,   81.84,   113.8
  42.67405,   82,   113.2
  43.38928,   82.3,   112.5
  44.11649,   82.61,   111.8
  44.8559,   82.83,   111.2
  45.60769,   82.99,   110.5
  46.37209,   83.13,   109.9
  47.1493,   83.23,   109.3
  47.93953,   83.31,   108.6
  48.74301,   83.51,   108
  49.55995,   83.77,   107.3
  50.39059,   83.91,   106.6
  51.23515,   83.99,   106
  52.09386,   84.16,   105.3
  52.96697,   84.39,   104.6
  53.85471,   84.63,   104
  54.75733,   84.86,   103.3
  55.67507,   85.11,   102.6
  56.6082,   85.41,   102
  57.55697,   85.72,   101.4
