"Sensitivity Excess Phase - dB SPL/watt (8 ohms, @0.50 meters) (High)"
      "Hz"  "Mag (dB)"       "deg"
  19.86599,   74.81,   39.2
  20.19895,   74.91,   39.5
  20.53749,   75.01,   39.8
  20.8817,   75.11,   40.1
  21.23169,   75.21,   40.5
  21.58753,   75.33,   40.8
  21.94935,   75.48,   41.1
  22.31722,   75.66,   41.4
  22.69126,   75.89,   41.7
  23.07158,   76.15,   42
  23.45826,   76.42,   42.3
  23.85143,   76.7,   42.6
  24.25118,   76.98,   42.9
  24.65764,   77.26,   43.1
  25.07091,   77.52,   43.4
  25.4911,   77.78,   43.6
  25.91834,   78.02,   43.9
  26.35274,   78.29,   44.1
  26.79441,   78.57,   44.4
  27.2435,   78.88,   44.6
  27.7001,   79.17,   44.8
  28.16436,   79.45,   45
  28.63641,   79.72,   45.3
  29.11636,   80,   45.5
  29.60436,   80.34,   45.7
  30.10053,   80.71,   45.9
  30.60502,   81.09,   46.1
  31.11797,   81.44,   46.3
  31.63952,   81.75,   46.5
  32.1698,   82.07,   46.6
  32.70898,   82.4,   46.8
  33.25719,   82.73,   46.9
  33.81459,   83.07,   47
  34.38133,   83.4,   47.2
  34.95757,   83.73,   47.3
  35.54346,   84.04,   47.4
  36.13918,   84.35,   47.6
  36.74488,   84.66,   47.7
  37.36074,   84.95,   47.8
  37.98691,   85.22,   47.9
  38.62358,   85.48,   48
  39.27092,   85.72,   48
  39.92911,   85.96,   48.1
  40.59833,   86.18,   48.1
  41.27877,   86.38,   48.2
  41.97061,   86.55,   48.2
  42.67405,   86.71,   48.2
  43.38928,   86.85,   48.2
  44.11649,   86.9,   48.3
  44.8559,   86.85,   48.3
  45.60769,   86.71,   48.3
  46.37209,   86.56,   48.3
  47.1493,   86.5,   48.2
  47.93953,   86.54,   48.2
  48.74301,   86.63,   48.1
  49.55995,   86.72,   48.1
  50.39059,   86.8,   48
  51.23515,   86.83,   47.9
  52.09386,   86.8,   47.8
  52.96697,   86.73,   47.7
  53.85471,   86.65,   47.6
  54.75733,   86.58,   47.5
  55.67507,   86.57,   47.4
  56.6082,   86.65,   47.3
  57.55697,   86.76,   47.1
  58.52164,   86.79,   47
  59.50247,   86.77,   46.8
  60.49975,   86.76,   46.7
  61.51374,   86.82,   46.5
  62.54472,   86.94,   46.3
  63.59299,   87.07,   46.1
  64.65882,   87.2,   45.8
  65.74252,   87.33,   45.6
  66.84438,   87.48,   45.4
  67.96471,   87.66,   45.1
  69.10382,   87.84,   44.8
  70.26201,   88.01,   44.6
  71.43962,   88.15,   44.3
  72.63697,   88.27,   44
  73.85438,   88.38,   43.7
